District_Name,Market_Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price_Date
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,25-Nov-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,21-Nov-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,10000,8000,18-Nov-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,12000,9000,11-Nov-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,12000,9000,09-Nov-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,11000,8500,08-Nov-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,12000,9000,07-Nov-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,12000,9000,06-Nov-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,14000,10000,04-Nov-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,12000,9000,01-Nov-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,16000,12000,31-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,16000,12000,30-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,7000,16000,11500,29-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,7000,16000,11500,28-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,7000,15000,11000,26-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,15000,10500,25-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,14000,10000,24-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6500,14000,10250,23-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,14000,11000,22-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,14000,10000,21-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,15000,10500,18-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,15000,10500,17-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,16000,10500,16-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,16000,10500,15-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,16000,10500,14-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,16000,10500,12-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,16000,10500,11-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,16000,10500,09-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,16000,10500,08-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,10000,16000,13000,07-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,04-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,03-Oct-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,27-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,25-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,24-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,23-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,21-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,20-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,19-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,18-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,17-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,16-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,13-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,12-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5500,8500,7000,11-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,10-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,09-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5500,8500,7000,07-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,06-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,05-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,04-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,03-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,02-Sep-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,31-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,30-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,12000,10000,29-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,9000,7500,28-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,9000,7500,27-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,7000,9000,8000,26-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,10000,8000,24-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,10000,8000,23-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,10000,8000,22-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,10000,8000,21-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,10000,8000,20-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,19-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,10000,8000,17-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,8000,7000,16-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,14-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,13-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,10000,7500,12-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,10000,8000,10-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,12000,9000,09-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,12000,10000,08-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,12000,10000,07-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,12000,10000,06-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,7000,11000,9000,05-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,12000,10000,03-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,12000,10000,02-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,12000,10000,01-Aug-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,12000,10000,31-Jul-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,15000,20000,17500,30-Jul-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,15000,20000,17500,29-Jul-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,10000,13000,11500,27-Jul-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,15000,20000,17500,26-Jul-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,13000,9000,25-Jul-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,9000,14000,11500,23-Jul-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,9000,14000,11500,22-Jul-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,13000,10500,18-Jul-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,10000,9000,17-Jul-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,10000,9000,16-Jul-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,12000,10000,13-Jul-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,12000,10000,12-Jul-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,12000,10000,05-Jul-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,12000,10000,02-Jul-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,12000,10000,28-Jun-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,10000,12000,11000,14-Jun-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,12000,10000,11-Jun-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,10000,9000,13-May-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,10000,9000,02-May-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,10000,9000,29-Apr-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,10000,9000,29-Mar-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,8000,10000,9000,28-Mar-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,8000,7000,18-Mar-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,8000,7000,11-Mar-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,21-Feb-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,8000,7000,16-Feb-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,14-Feb-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,12-Feb-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,11-Feb-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,08-Feb-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,02-Feb-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,31-Jan-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,8000,6500,30-Jan-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,6000,8000,7000,28-Jan-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,4000,11000,7500,19-Jan-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,4000,11000,7500,17-Jan-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,4000,12000,8000,14-Jan-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,4000,10000,7000,11-Jan-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,11000,8000,07-Jan-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,4000,6000,5000,03-Jan-23
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5500,6500,6000,29-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,6000,5500,28-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,6000,5500,25-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3000,5000,4000,24-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3000,5000,4000,20-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3500,5200,4350,19-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3000,5000,4000,18-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3000,5000,4000,17-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3000,5000,4000,15-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3000,5000,4000,14-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3000,5000,4000,13-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3200,5200,4200,12-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3000,5000,4000,10-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3200,5200,4200,08-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3000,5000,4000,07-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3000,5000,4000,03-Dec-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3000,5000,4000,26-Nov-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3000,5000,4000,17-Nov-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,3000,5000,4000,16-Nov-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,7000,6000,12-Nov-22
Amarawati,Amrawati(Frui & Veg. Market),Apple,Other,General,5000,7000,6000,10-Nov-22
